Front,Back,Chapter,Tags
"Part A","MOS reporting loss","Department Property",key_terms 219_department_property
"Part B","D/O Pct of occurrence","Department Property",key_terms 219_department_property
"Part C","C.O. / Duty Captain","Department Property",key_terms 219_department_property
"Part D","C.O. of MOS concerned","Department Property",key_terms 219_department_property
"Unit","When to Contact","Department Property",key_terms 219_department_property
"Fleet Services Division","Vehicle maintenance, E-Z Pass reassignment, defective tags; loss of tire/tool from dept auto (3 copies of 49)","Department Property",key_terms 219_department_property
"Building Maintenance Section (24/7)","Emergency power outages — immediately","Department Property",key_terms 219_department_property
"ITB Service Desk (24/7)","LPR repairs, Mobility Tablet support","Department Property",key_terms 219_department_property
"ITB Telecommunications Unit","Lost/stolen/damaged mobile devices; callbox issues (Mon–Fri 0800–1600)","Department Property",key_terms 219_department_property
"ITB Information Security Desk","Foreign travel with Department phone (5 business days prior; list every country)","Department Property",key_terms 219_department_property
"ITB Wheel","Callbox issues after hours","Department Property",key_terms 219_department_property
"Operations Unit","Lost/stolen portable radio; also notified immediately for lost/stolen firearm/shield/ID card","Department Property",key_terms 219_department_property
"Electronics Section","Lost/stolen portable radio","Department Property",key_terms 219_department_property
"Internal Affairs Bureau","Lost/stolen Department property; lost/stolen firearm/shield/ID","Department Property",key_terms 219_department_property
"Stolen Property Inquiry Unit (SPIU)","Lost/stolen Department property alarms; property with identifying marks","Department Property",key_terms 219_department_property
"Transit Bureau Wheel","Lost/stolen OMNY pass; also for lost/stolen MetroCard (NYCT Police Pass)","Department Property",key_terms 219_department_property
"Employee Resources Section (ERS)","Lost/stolen MetroCard (NYCT Police Pass) — forward 49 and Complaint Report; replacement shield/ID card","Department Property",key_terms 219_department_property
"Shield, ID and Uniformed Services Unit","OMNY pass issues; damaged/defective/lost/stolen passes","Department Property",key_terms 219_department_property
"Patrol Borough Counterterrorism Coordinator","Radiation pager repair/replacement instructions","Department Property",key_terms 219_department_property
"Citywide Counterterrorism Office","Lost/stolen radiation pager — notify immediately","Department Property",key_terms 219_department_property
"Chief of Department's Vehicle Identification Unit","Restricted Parking Permit applications/returns","Department Property",key_terms 219_department_property
"Department Advocate's Office","Consultation required before disciplinary action for lost/stolen FIREARM","Department Property",key_terms 219_department_property
"Employee Resources Section","Replacement shield/ID card after loss; also for LIRR/Metro North pass issues","Department Property",key_terms 219_department_property
"Medical Division","Regulated infectious waste pickup","Department Property",key_terms 219_department_property
"Quartermaster Section","AAA batteries for radiation pagers","Department Property",key_terms 219_department_property
"DCAS Inspector","Must sign heating oil delivery ticket","Department Property",key_terms 219_department_property
"HQ Security Unit","Loss occurs in 5th Precinct confines — reports loss here (5th records the 61)","Department Property",key_terms 219_department_property
"PA Integrity Unit","Loss occurs in 13th Precinct confines — reports loss here (13th records the 61)","Department Property",key_terms 219_department_property
"Legal Bureau","ICO contacts for CCRB smartphone requests; also handles Rosario/Discovery requests","Department Property",key_terms 219_department_property
"Real Time Crime Center","Can search past records of license plates queried by LPR","Department Property",key_terms 219_department_property
"Telecommunications Unit","Callbox notification Mon–Fri 0800–1600","Department Property",key_terms 219_department_property
"CIMS","Citywide Incident Management System — NYC's adaptation of NIMS/ICS","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Command Element","Individual(s) responsible for overall command function; may be Single or Unified. PG uses ""Command Element"" not ""Incident Commander"" because command may be shared with other agencies","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Single Command","One Primary Agency with one Incident Commander","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Unified Command","Multiple Primary Agencies, each with an Agency Incident Commander; all co-locate at one ICP","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Single-CBRN","Hybrid command type for Chemical, Biological, Radiological, Nuclear or HazMat incidents — NYPD is sole IC until no criminal/terror activity is determined, then reverts to Unified; Ops Section is Unified throughout","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Primary Agency","Agency designated by the Primary Agency Matrix to command the incident","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Supporting Agency","Agency assisting but not commanding","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Coordinating Agency","NYCEM — facilitates inter-agency coordination and support","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Potential Primary Agency","State/federal agencies with jurisdictional authority under specific conditions","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Subject Matter Expert Agency","Agency with technical expertise but no tactical personnel deployed","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Core Competency","Functional area of expertise assigned to one single agency — describes capability only, not management authority","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"OEM","Former name for NYCEM (NYC Emergency Management); older exam questions may still use ""OEM""","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"DCPI","Deputy Commissioner of Public Information — preferred source for the PIO when NYPD is in command","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"MODULAR","Key word describing CIMS structure — IC can run an operation alone or open any combination of staff positions as needed","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Position","Designation Authority (Override)","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Public Information Officer","Mayor's Press Office may designate","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Safety Officer","No external override — IC designates","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Liaison Officer","NYCEM may designate","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Section","Chief Manages","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Operations","All tactical operations","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Planning","Information collection, IAP preparation, resource tracking","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Logistics","All service and support","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Finance/Administration","Financial/administrative functions","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Intelligence/Investigations","Investigative/intelligence operations","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Jointly Picked (one for entire command)","Each IC Picks Own","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Public Information Officer","Safety Officer (each agency picks own)","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Liaison Officer","Operations Section Chief (each agency picks own)","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Planning Section Chief","—","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Logistics Section Chief","—","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Finance/Admin Section Chief","—","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Intelligence Section Chief","—","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Type","PG Section","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Single Command","220-04","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Unified Command","220-03","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Single-CBRN","220-02","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Incident Type","Primary Agency","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Civil Disturbance","NYPD","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"EDP","NYPD","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Explosive Device / Bomb Threat","NYPD","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Fire","FDNY","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
"Hostage Incident","NYPD","Citywide Incident Management",key_terms 220_citywide_incident_mgmt
